nome_macro,macrocode,nenhum_exame,de_1_a_3_exames,de_4_a_6_exames,mais_de_7_exames,ignorados,parto_vaginal,parto_cesariano
"RRAS13",3530,.826625,2.76637,14.4568,80.4098,1.54044,30.8683,69.1272
"RRAS14",3529,.637014,3.0074,15.4678,80.7188,.169004,31.4092,68.5908
"RRAS15",3528,.788341,2.76223,13.6557,81.9878,.805931,33.3161,66.6801
"RRAS16",3527,.511717,2.714,14.7033,81.7677,.30324,41.0238,58.9743
"RRAS17",3526,1.18469,3.54009,16.7036,77.8855,.686033,35.8076,64.1909
"RRAS2",3525,1.46959,5.66671,23.1315,69.0751,.657104,48.4745,51.5222
"RRAS3",3524,1.30074,5.16412,20.7749,72.2681,.492173,48.6467,51.3533
"RRAS4",3523,1.4694,5.03717,19.8264,73.1378,.529168,54.8896,45.1085
"RRAS5",3522,1.7493,6.34069,21.775,68.9435,1.1915,47.9126,52.0859
"RRAS6",3521,1.01556,3.89829,16.462,78.5352,.088975,47.7795,52.2188
"RRAS7",3520,1.37112,3.96299,17.3316,77.0825,.251815,48.328,51.6661
"RRAS8",3519,.594335,2.3155,12.512,84.1522,.425998,39.7622,60.2368
"RRAS9",3518,.971356,2.71215,14.5038,81.6222,.190447,34.9201,65.0631
"SEMI-ARIDO",2207,1.17611,4.82203,28.4817,65.438,.082105,37.0758,62.9219
"SERRA",4310,.852874,2.73658,12.7987,83.5514,.06044,28.2672,71.7316
"SERTAO",2606,1.09758,3.97208,17.8983,76.378,.654021,45.6854,54.3146
"SUDESTE",3107,1.39581,3.83094,18.4763,76.0114,.285547,32.5612,67.437
"SUDOESTE (NBS - VITORIA CONQUISTA)",2911,2.78157,5.66654,26.5388,62.5713,2.44174,55.3464,44.6492
"SUL",3101,1.28258,2.68443,14.6188,81.0877,.326457,32.1632,67.8348
"SUL",3205,.561441,6.29337,29.8702,62.8441,.430874,29.0366,70.9597
"SUL",4210,.64672,4.51042,24.6712,70.0656,.106082,35.6086,64.3914
"SUL",4309,6.50066,4.74192,17.7497,69.1859,1.82183,36.9762,63.0226
"SUL (NBS - ILHEUS)",2910,3.97101,10.8454,34.9229,49.8124,.448269,57.2851,42.7001
"TRES LAGOAS",5005,.632195,4.69073,19.918,74.6771,.081951,30.4258,69.5742
"TRIANGULO DO NORTE",3113,.58941,2.37643,12.2965,84.6615,.076149,26.1991,73.7989
"TRIANGULO DO SUL",3112,1.58943,4.34367,19.2326,73.938,.896259,29.7006,70.2994
"VALE DO ACO",3114,.723536,3.46241,21.9046,73.6102,.299339,41.3165,58.6835
"VALE DO S.FRANCISCO E ARARIPE",2605,1.0576,4.33224,20.0905,74.2122,.307487,51.3545,48.6445
"VALES",4308,.640107,3.03016,14.9597,81.2044,.1656,28.7573,71.2427
