macrocode,macrorregiao,mpib20092013,mpib20142018,med_por1000_20092013,med_por1000_20142018,mpsaude20092013,mpsaude20142018,mpobres2010,mtmi2010,mtanalfa2010,mgini2010,mexpobres2010,mitheill2010,mitheilrt2010,maguaesgruim2010,msemeletric2010,midh2010,midh_edu2010,midh_long2010,midh_renda2010,om_tot,nvtot,pop_tot,tbn,c,rmm,rmmest
2606,"SERTAO",6923.71,10015.9,.542385,.639189,2.41515,2.16205,41.0187,26.0192,26.3719,.546671,23.0472,.570916,.481385,15.8218,1.11874,.602478,.502386,.757648,.576381,18,57787,4.2e+06,1.377499,36.71003,31.14887,63.52644
2607,"METROPOLITANA",15389.2,22171.8,1.57722,1.48662,21.3273,17.842,22.1048,19.1184,14.141,.565931,8.64862,.619013,.449674,8.69006,.200646,.693975,.616314,.802448,.678448,300,437139,2.8e+07,1.54039,283.5841,68.62806,64.87276
2608,"AGRESTE",7929.77,12206.2,.638709,.694394,6.39663,6.10693,32.054,24.7318,26.4184,.524796,15.7988,.518007,.442465,14.9063,.562167,.606584,.481856,.765083,.607055,51,113041,9.4e+06,1.202108,64.52666,45.11637,57.08252
2703,"2ª MACRORREGIAO DE SAUDE",6296.8,10111.9,.648304,.678831,3.41113,3.36749,44.5653,29.197,31.582,.559955,25.6806,.594627,.483831,26.9508,1.50697,.577933,.458046,.751342,.562814,50,86908,5.4e+06,1.619555,62.48782,57.5321,71.90112
2704,"1ª MACRORREGIAO DE SAUDE",11160.3,16761.5,1.18395,1.09885,12.8738,13.2259,28.9507,26.5358,21.3716,.567167,12.2217,.60849,.446307,6.24297,.786805,.644476,.542711,.770957,.643361,102,164882,1.1e+07,1.485119,106.8005,61.86242,64.77391
2801,"MACRO UNICA",13684.5,17498.1,1.24875,1.24255,12.4615,12.2029,27.8704,22.1039,18.718,.537591,11.6921,.547843,.453733,11.0003,.818267,.652949,.555825,.783946,.643814,98,175922,1.1e+07,1.572926,119.5373,55.7065,67.94906
2910,"SUL (NBS - ILHEUS)",9549.01,12898.8,.659012,.674138,5.47002,5.34711,31.2239,23.6867,21.0172,.539056,12.9945,.539979,.432847,10.6634,5.474,.623119,.50831,.773851,.617854,68,113736,8.1e+06,1.400535,71.09256,59.78758,62.50665
2911,"SUDOESTE (NBS - VITORIA CONQUISTA)",7135.4,11001.2,.625645,.682339,3.83648,3.86377,31.1719,23.4998,22.4288,.509219,14.7283,.491916,.432639,10.9436,5.14492,.611912,.495129,.773712,.600723,61,115849,8.7e+06,1.326396,71.22903,52.65475,61.48437
2912,"OESTE (NBS - BARREIRAS)",13249.5,21144.1,.502926,.555608,2.53529,2.52255,37.8503,22.8376,20.5631,.565325,22.8553,.611823,.467246,9.2781,6.11645,.624141,.532543,.777489,.589955,42,72256,4.7e+06,1.540575,43.98214,58.12666,60.86988
2913,"NORTE - (NRS - JUAZEIRO)",7950.64,11553.3,.631372,.670544,5.2911,5.38725,37.1366,24.8006,21.8293,.556577,19.8909,.585647,.509899,11.4595,6.91602,.61267,.507453,.766734,.594119,24,78739,5.3e+06,1.472981,51.76091,30.48045,65.73733
2914,"NORDESTE (NRS - ALAGOINHAS)",8911.19,11641.5,.596838,.576756,5.16296,4.378,39.2052,27.801,23.8375,.545276,20.5623,.56405,.456567,13.8464,3.68173,.594071,.479231,.75159,.585019,31,46347,4.3e+06,1.0875,24.88901,66.88675,53.70145
2915,"LESTE - (NRS - SALVADOR)",18249,25312.9,1.7741,1.64298,21.3252,19.265,16.999,16.7432,7.51989,.597218,6.92934,.673098,.528587,3.58764,.579242,.722505,.637959,.819952,.723197,252,313595,2.3e+07,1.348948,180.9767,80.35842,57.71031
2916,"EXTREMO SUL (NRS - TEIXEIRA FREITAS)",11421.5,16872.2,.757591,.731431,8.61523,7.3668,24.3064,21.6955,18.6714,.550196,9.62065,.555063,.432965,10.347,3.77586,.649273,.536438,.786321,.65002,45,64875,4.1e+06,1.590913,42.9798,69.36416,66.25018
2917,"CENTRO-LESTE (NRS - FEIRA SANTANA)",8312.46,12861.8,.630046,.627296,6.01806,6.21352,33.5217,23.8711,19.657,.553457,17.318,.58048,.479306,14.343,4.04904,.622163,.514652,.772115,.608663,71,147413,1.1e+07,1.343703,89.24709,48.164,60.54221
2918,"CENTRO - NORTE (NRS - JACOBINA)",5401.83,8521.27,.400334,.473722,1.71501,1.75585,41.0438,28.8405,21.1726,.532357,20.7427,.533515,.509401,13.3755,3.56425,.598197,.504854,.743701,.57211,33,56632,4.0e+06,1.416311,36.77961,58.27094,64.94492
3101,"SUL",17909.4,26409,1.37541,1.32083,22.3521,19.6048,6.92831,13.3363,7.45359,.479762,1.27035,.408346,.357808,.422053,.188243,.727832,.63071,.855535,.71597,64,163233,1.4e+07,1.180516,83.37234,39.20776,51.07566
3102,"CENTRO SUL",16675.2,22404,1.41212,1.40054,22.0497,20.0816,12.3041,14.1848,6.8098,.501597,3.16795,.457842,.376236,1.32751,.344781,.720456,.633279,.848212,.697758,16,40743,3.9e+06,1.045846,20.42144,39.27055,50.12256
3103,"CENTRO",27530.4,33597.5,2.4039,2.36157,38.2633,31.7899,6.71718,13.9432,4.83935,.522883,1.63568,.507672,.405086,.883607,.21826,.75781,.680063,.846557,.757715,210,438250,3.2e+07,1.350231,245.5504,47.91785,56.02975
3104,"JEQUITINHONHA",7001.13,12047.1,.620404,.719792,5.01625,4.8989,27.8392,17.8244,18.1055,.511619,11.7566,.496701,.396382,8.44424,2.0982,.64536,.539736,.808397,.617691,12,23590,2.0e+06,1.161636,13.24382,50.86901,56.14166
3105,"OESTE",16899.5,24039.5,1.02143,1.05348,25.8305,25.0685,4.81113,14.0322,6.27579,.44884,.920897,.355645,.323404,.388033,.119941,.72667,.630911,.849396,.717823,24,69575,6.3e+06,1.106091,34.35717,34.49515,49.38149
3106,"LESTE",9858.74,14271.7,.981282,1.0153,13.193,12.0308,18.9502,16.6933,14.4151,.507496,6.54885,.465912,.393956,3.14461,1.10836,.671376,.562529,.817366,.660207,28,44609,3.4e+06,1.297811,26.82171,62.7676,60.12623
3107,"SUDESTE",14842.4,20486.1,1.93997,1.90605,24.0544,20.8554,9.53091,15.0255,7.35444,.507487,2.36395,.462978,.376903,.486553,.322614,.72421,.630069,.841829,.718621,50,95309,8.3e+06,1.15476,53.62713,52.46094,56.2666
